-10713,-11933,1049
-9113,-14157,1030
-7764,-15438,1627
-5702,-15524,2838
-3243,-16388,2377
-1591,-16308,2420
77,-16581,2268
839,-16593,1872
1480,-16752,2274
1392,-17639,1951
1726,-16697,826
583,-17093,823
1169,-16331,-537
-2423,-14730,-8057
-1082,-12332,-10668
-1611,-8809,-12577
-2273,-3176,-16125
-2081,150,-15205
-1849,-2362,-15249
-2213,-417,-15775
-1694,1141,-16181
-1374,4976,-15069
-1775,6785,-14345
-1478,7495,-13541
-1061,7583,-13896
-1287,3971,-15223
-1079,593,-15175
-3072,-3222,-14964
-476,-8286,-13683
-1118,-12856,-11729
-119,-14356,-8123
-167,-15803,-3706
883,-16586,2287
1380,-16220,5797
963,-14927,7796
1261,-13780,10554
735,-11147,12766
1229,-7072,16579
1508,-1917,16834
868,1236,17636
201,5290,17835
-904,8343,15106
-617,10494,13032
-1764,12634,10488
-1888,14830,6436
-1345,15392,3974
-2004,15308,1703
-1542,15933,-3564
-1549,14380,-7618
-1307,11387,-11413
-1210,7852,-14305
-1181,4110,-14799
-269,968,-15614
-330,-2476,-15966
-472,-2694,-15576
-386,-2954,-15611
-36,-3040,-15688
-85,-1292,-15976
-77,693,-15590
-519,1927,-14741
-553,2109,-15951
-1649,1803,-16091
-999,54,-15513
-805,2198,-14800
-1766,-284,-16520
-756,-780,-15968
-819,-1461,-15835
-584,-1276,-15452
-721,-819,-15715
-334,-411,-16036
-527,3123,-15627
-218,4713,-14762
-694,7638,-13316
-610,11596,-10940
-267,14604,-6096
-242,15431,-2599
308,16098,1034
1471,13855,8451
1710,11660,11617
2076,9430,13803
1905,6802,16037
1210,2284,17041
455,-3583,16988
2759,-5914,16587
1074,-7868,13038
1482,-10627,12955
1012,-13158,10284
1293,-15627,6955
910,-16381,2966
-213,-16566,-1482
595,-15806,-5333
-216,-13692,-8115
-82,-12694,-10186
329,-11249,-11222
752,-9108,-13419
517,-6650,-14784
307,-4682,-15179
452,-1044,-15655
267,646,-15593
-15,1346,-15955
-1171,1211,-15832
-725,3087,-15346
-515,1356,-15877
-1172,1500,-15661
-902,1542,-15319
-566,1301,-15867
-904,1848,-15407
-358,1237,-15519
-979,1621,-15771
-895,1757,-15451
-665,1406,-15842
-355,1357,-15676
-737,1573,-15380
-429,1300,-15768
-1020,1480,-16146
-643,1494,-15527
-573,1214,-15818
-725,1491,-15392
-452,1221,-15744
-489,1072,-15685
-389,1074,-15401
-691,1208,-15884
-485,1038,-15757
-424,1198,-15430
-568,777,-15683
-684,1030,-15733
-566,820,-15718
