-14780,3494,-1926,880,-2518,8460
-15167,2592,-4192,654,-2456,8302
-14989,3883,-7839,257,-2548,8013
-11998,3153,-9620,8,-2509,7763
-11413,1585,-11189,-143,-2432,7408
-10091,859,-12236,-241,-2457,7261
-8553,950,-13543,-342,-2516,6914
-6181,465,-14217,-437,-2516,6599
-3244,876,-15792,-427,-2577,6085
-97,709,-15563,-328,-2638,5670
960,547,-15178,-154,-2685,5334
1816,88,-15771,-190,-2752,5361
1627,301,-15530,-157,-2673,5422
608,961,-15720,-302,-2642,5644
85,644,-15706,-333,-2618,5645
961,734,-15627,-258,-2708,5554
886,571,-15532,-134,-2729,5542
502,968,-15689,-193,-2808,5693
550,137,-15355,-239,-2806,5697
-312,2061,-15342,-270,-2672,5563
-52,3024,-15627,-251,-2629,5480
-44,4531,-15203,-279,-2587,5452
-43,9165,-13175,-163,-2258,5059
-357,14951,-6021,-160,-1576,4939
-548,15833,-215,-177,-1062,4905
-296,16601,519,-137,-1101,4913
-660,16577,950,-126,-1152,4830
-2396,16863,816,-153,-1202,4897
-929,17256,80,-229,-1193,4955
561,15829,1738,-323,-976,5269
-175,15849,548,-315,-962,5270
-294,16094,-480,-283,-927,5181
1388,16468,435,-204,-734,5278
2557,16039,801,-70,-573,5001
2537,16164,2691,21,-282,5025
6436,14970,2559,162,14,5201
8246,14122,1036,408,181,5114
10372,11743,567,629,309,5121
11230,10769,210,762,409,5048
10879,11361,126,765,412,5100
12502,9325,386,1075,534,5100
13627,9444,97,1222,626,5125
13922,7738,643,1447,659,5083
15001,6649,873,1762,739,5062
15660,4897,1608,2022,723,5089
16415,4384,1347,2168,740,5049
15991,2007,2192,2438,700,5060
16153,1401,754,2475,660,5006
16248,697,825,2545,633,4993
16207,681,80,2651,574,4915
15700,-3076,-442,3061,333,4816
15577,-5842,-460,3323,107,4631
14616,-6956,-888,3555,-53,4712
13732,-8999,-633,3727,-208,4693
12014,-11655,-616,3916,-415,4771
9891,-12568,-1024,4119,-701,4772
7661,-14927,-42,4197,-1130,4664
5352,-15446,-1,4194,-1533,4673
3171,-16145,883,4182,-1796,4647
1288,-16726,709,4180,-2145,4633
-1578,-16281,909,3981,-2503,4666
-5229,-15725,2170,3734,-2939,4639
-8091,-14854,4063,3439,-3261,4651
-10191,-13101,5213,3001,-3531,4791
-12396,-9864,5440,2535,-3683,4730
-14232,-7957,6589,2119,-3806,4805
-15192,-4962,5936,1829,-3784,4892
-16240,-2838,4523,1638,-3782,4992
-16524,-527,3692,1425,-3772,5015
-15702,2276,2900,1064,-3728,5228
-15237,4318,2418,786,-3679,5348
-15224,6820,1959,469,-3457,5369
-13269,9240,1811,177,-3208,5401
-10434,11940,1587,-216,-2637,5426
-7397,14589,1790,-416,-1996,5356
-4084,15445,1886,-417,-1605,5358
-2175,15602,1619,-412,-1297,5420
-1390,16000,2081,-418,-1101,5422
1015,14738,2842,-322,-862,5395
1409,15843,4108,-326,-678,5438
1668,15539,3712,-274,-656,5364
642,15889,2749,-276,-664,5286
1691,15123,5481,-255,-538,5394
1164,12440,10762,-301,-422,5889
365,2869,17443,-279,-322,6768
-2178,-20083,8056,-295,-1289,7574
-232,-15815,6799,-257,-1657,7658
-721,-15490,3613,-183,-1883,7640
-477,-16712,1714,-163,-2053,7561
-33,-18134,-2720,-207,-2029,7589
405,-15039,-455,-243,-2042,7513
-441,-15715,936,-165,-2220,7409
49,-16357,-273,-134,-2297,7539
1638,-17005,-680,-66,-2557,7418
4199,-15849,-2730,138,-2879,7449
6353,-15359,-2004,360,-3165,7385
8723,-13578,-2591,657,-3484,7330
10001,-12955,-2798,870,-3683,7165
10355,-11731,-2766,1036,-3817,7105
15514,-9488,-4147,1495,-4045,7031
14586,-7342,-2972,1880,-4100,7059
14965,-5983,-3088,2114,-4135,7065
15450,-3389,-1558,2498,-4101,7050
15635,-2082,-700,2731,-4061,7100
15536,100,173,3000,-3969,7017
15461,2597,487,3199,-3917,6912
15317,4733,-2108,3511,-3749,6963
15299,6211,60,3800,-3534,6991
14273,7790,534,3950,-3408,7024
13094,9408,368,4137,-3120,7102
11647,11493,1169,4276,-2794,7274
8963,12283,1229,4374,-2443,7347
6169,14675,1669,4442,-1989,7408
4067,15427,2190,4463,-1676,7496
1213,15509,2409,4303,-1270,7563
-2131,16442,1536,4162,-728,7665
-5095,14822,1309,3895,-509,7712
-8169,14420,938,3679,-166,7728
-9957,11959,-25,3299,128,7717
-11683,10682,-798,2951,421,7672
-13526,8455,-1245,2620,627,7412
-14430,6183,-2464,2337,736,7287
-15231,4009,-2471,1973,820,7124
-15801,1521,-1839,1692,909,6973
-15450,-1389,-1586,1151,840,6892
-15377,-4179,-691,906,728,6815
-15254,-5726,-44,710,598,7001
-14844,-7360,385,428,453,6992
-14181,-9756,715,228,228,7066
-13077,-10250,1537,58,114,7050
-10713,-11933,1049,-121,-269,7128
-9113,-14157,1030,-360,-591,7083
-7764,-15438,1627,-392,-890,7221
-5702,-15524,2838,-358,-1137,7336
-3243,-16388,2377,-312,-1411,7421
-1591,-16308,2420,-290,-1684,7504
77,-16581,2268,-239,-2010,7565
839,-16593,1872,-164,-2127,7471
1480,-16752,2274,-172,-2136,7475
1392,-17639,1951,-151,-2192,7500
1726,-16697,826,-175,-2178,7530
583,-17093,823,-190,-2219,7376
1169,-16331,-537,-296,-2352,7012
-2423,-14730,-8057,-514,-2165,6523
-1082,-12332,-10668,-572,-1790,5981
-1611,-8809,-12577,-431,-1099,5595
-2273,-3176,-16125,-217,-282,5799
-2081,150,-15205,141,194,5841
